RISK:, , , ,,,,,,,, , , ,, ,,,,
GHG Emissions, , , ,,,,,,,, , , ,, ,,,,
 , , , ,, , , , , , , , , ,, ,,,,
Index, ,CO? Emissions (Mt CO2)/2022,,,CO? Emissions (Mt CO2)/2023,, ,Methane emissions,, , , , ,, ,,,,
 , , , ,, , , , , , , , , ,, ,,,,
Organisation, ,IEA,,,World Population Review,, ,World Population Review,, , , , ,, ,,,,
Link, ,https://www.iea.org/countries                          (fuel emission),,,https://worldpopulationreview.com/country-rankings/co2-emissions-by-country,, ,https://worldpopulationreview.com/country-rankings/freedom-index-by-country,, , , , ,, ,,,,
Data last updated, ,Data presumed to be from 2022. Last checked May 2025.,,,Data presumed to be from 2023. Last checked May 2025.,, ,Data from 2022. Last checked November 2024.,, , , , ,, ,,,,
Scale, ,1-100,,,1-100,, ,10-Jan,, , , , ,, ,,,,
 , , , ,, , , , ,, , , , ,, ,,,,
Country, ,Raw data,Converted data,,Raw data,Converted data, ,Raw data,Converted data, , ,Average, ,Traffic light scoring, ,,,,
Afghanistan, , , ,,9,1.01,,18683936,1.03, , ,1.02, , , ,,,,
Albania, , , ,,5,1,,2439716.2,1, , ,1.00, , , ,,,,
Algeria, , , ,,180,1.12,,95451310,1.16, , ,1.14, , , ,,,,
Andorra, , , ,,28,1.02,,81499.98,1, , ,1.01, , , ,,,,
Angola, , , ,,0,1,,50539908,1.08, , ,1.04, , , ,,,,
Antigua and Barbuda, , , ,,0,1,,67517.36,1, , ,1.00, , , ,,,,
Argentina, , , ,,184,1.12,,128233790,1.21, , ,1.17, , , ,,,,
Armenia, , , ,,8,1.01,,1435784,1, , ,1.01, , , ,,,,
Australia, , , ,,374,1.25,,5459430400,10, , ,5.63, , , ,,,,
Austria, , , ,,59,1.04,,9845153,1.02, , ,1.03, , , ,,,,
Azerbaijan, , , ,,43,1.03,,25460438,1.04, , ,1.04, , , ,,,,
Bahamas, , , ,,2,1,,394756.9,1, , ,1.00, , , ,,,,
Bahrain, , , ,,37,1.03,,30203160,1.05, , ,1.04, , , ,,,,
Bangladesh, , , ,,125,1.08,,111981800,1.18, , ,1.13, , , ,,,,
Barbados, , , ,,1,1,,212712.28,1, , ,1.00, , , ,,,,
Belarus, , , ,,54,1.04,,17381474,1.03, , ,1.04, , , ,,,,
Belgium, , , ,,84,1.06,,12791472,1.02, , ,1.04, , , ,,,,
Belize, , , ,,0,1,,543671.56,1, , ,1.00, , , ,,,,
Benin, , , ,,6,1,,8612935,1.01, , ,1.01, , , ,,,,
Bhutan, , , ,,2,1,,1376934.8,1, , ,1.00, , , ,,,,
Bolivia, , , ,,24,1.02,,32639012,1.05, , ,1.04, , , ,,,,
Bosnia and Herzegovina, , , ,,22,1.01,,5223628,1.01, , ,1.01, , , ,,,,
Botswana, , , ,,7,1,,10604006,1.02, , ,1.01, , , ,,,,
Brazil, , , ,,480,1.33,,611426240,2.01, , ,1.67, , , ,,,,
Brunei Darussalam, , , ,,10,1.01,,4641447,1.01, , ,1.01, , , ,,,,
Bulgaria, , , ,,40,1.03,,9914605,1.02, , ,1.03, , , ,,,,
Burkina Faso, , , ,,6,1,,24878820,1.04, , ,1.02, , , ,,,,
Burundi, , , ,,1,1,,5207985.5,1.01, , ,1.01, , , ,,,,
Cambodia, , , ,,18,1.01,,25271448,1.04, , ,1.03, , , ,,,,
Cameroon, , , ,,11,1.01,,26134004,1.04, , ,1.03, , , ,,,,
Canada, , , ,,575,1.39,,109381460,1.18, , ,1.29, , , ,,,,
Cape Verde, , , ,,1,1,,222931.25,1, , ,1.00, , , ,,,,
Central African Republic, , , ,,0,1,,12303873,1.02, , ,1.01, , , ,,,,
Chad, , , ,,3,1,,70042360,1.12, , ,1.06, , , ,,,,
Chile, , , ,,84,1.06,,24499674,1.04, , ,1.05, , , ,,,,
China, , , ,,13260,10,,1886239500,4.11, , ,7.06, , , ,,,,
Colombia, , , ,,101,1.07,,96959650,1.16, , ,1.12, , , ,,,,
Comoros, , , ,,0,1,,629749.1,1, , ,1.00, , , ,,,,
Cook Islands, , , ,,0,1,,14881.121,1, , ,1.00, , , ,,,,
Costa Rica, , , ,,9,1.01,,5367752.5,1.01, , ,1.01, , , ,,,,
Croatia, , , ,,17,1.01,,3460900.2,1.01, , ,1.01, , , ,,,,
Cuba, , , ,,22,1.01,,13795481,1.02, , ,1.02, , , ,,,,
Cyprus, , , ,,7,1,,2455681.5,1, , ,1.00, , , ,,,,
Czechia, , , ,,91,1.06,,12813916,1.02, , ,1.04, , , ,,,,
Denmark, , , ,,27,1.02,,10829313,1.02, , ,1.02, , , ,,,,
Djibouti, , , ,,1,1,,1281571,1, , ,1.00, , , ,,,,
Dominican Republic, , , ,,31,1.02,,13384085,1.02, , ,1.02, , , ,,,,
Ecuador, , , ,,45,1.03,,23722576,1.04, , ,1.04, , , ,,,,
Egypt, , , ,,1,1,,74668664,1.12, , ,1.06, , , ,,,,
El Salvador, , , ,,8,1.01,,3703789.2,1.01, , ,1.01, , , ,,,,
Equatorial Guinea, , , ,,4,1,,5917772,1.01, , ,1.01, , , ,,,,
Eritrea, , , ,,1,1,,5133191,1.01, , ,1.01, , , ,,,,
Estonia, , , ,,11,1.01,,1036086.75,1, , ,1.01, , , ,,,,
Eswatini, , , ,,1,1,,1279157.8,1, , ,1.00, , , ,,,,
Ethiopia, , , ,,17,1.01,,128861670,1.21, , ,1.11, , , ,,,,
Fiji, , , ,,2,1,,786681.5,1, , ,1.00, , , ,,,,
Finland, , , ,,32,1.02,,10611370,1.02, , ,1.02, , , ,,,,
France, , , ,,,,,67722930,1.11, , ,1.11, , , ,,,,
Gabon, , , ,,5,1,,11807205,1.02, , ,1.01, , , ,,,,
Gambia, , , ,,1,1,,1748332.4,1, , ,1.00, , , ,,,,
Georgia, , , ,,13,1.01,,3169360.2,1.01, , ,1.01, , , ,,,,
Germany, , , ,,583,1.4,,61376812,1.1, , ,1.25, , , ,,,,
Ghana, , , ,,24,1.02,,24539052,1.04, , ,1.03, , , ,,,,
Greece, , , ,,52,1.04,,8906860,1.01, , ,1.03, , , ,,,,
Grenada, , , ,,0,1,,60221.234,1, , ,1.00, , , ,,,,
Guatemala, , , ,,21,1.01,,20165194,1.03, , ,1.02, , , ,,,,
Guinea, , , ,,4,1,,21743560,1.04, , ,1.02, , , ,,,,
Guinea-Bissau, , , ,,0,1,,2291972.8,1, , ,1.00, , , ,,,,
Guyana, , , ,,3,1,,1886403.2,1, , ,1.00, , , ,,,,
Haiti, , , ,,4,1,,10190768,1.02, , ,1.01, , , ,,,,
Honduras, , , ,,11,1.01,,10149452,1.02, , ,1.02, , , ,,,,
Hong Kong, , , ,,35,1.02,,5994945,1.01, , ,1.02, , , ,,,,
Hungary, , , ,,44,1.03,,9798295,1.02, , ,1.03, , , ,,,,
Iceland, , , ,,3,1,,564190.06,1, , ,1.00, , , ,,,,
India, , , ,,2955,3.01,,940655200,2.55, , ,2.78, , , ,,,,
Indonesia, , , ,,675,1.46,,420777500,1.69, , ,1.58, , , ,,,,
Iran, , , ,,779,1.53,,203894030,1.34, , ,1.44, , , ,,,,
Iraq, , , ,,193,1.13,,153051540,1.25, , ,1.19, , , ,,,,
Ireland, , , ,,32,1.02,,17403134,1.03, , ,1.03, , , ,,,,
Israel, , , ,,61,1.04,,17487518,1.03, , ,1.04, , , ,,,,
Italy, , , ,,61,1.04,,43000900,1.07, , ,1.06, , , ,,,,
Jamaica, , , ,,7,1,,1044496.9,1, , ,1.00, , , ,,,,
Japan, , , ,,945,1.64,,30038908,1.05, , ,1.35, , , ,,,,
Jordan, , , ,,24,1.02,,6921968,1.01, , ,1.02, , , ,,,,
Kazakhstan, , , ,,240,1.16,,59286940,1.1, , ,1.13, , , ,,,,
Kenya, , , ,,22,1.01,,66666268,1.11, , ,1.06, , , ,,,,
Kiribati, , , ,,0,1,,33210.03,1, , ,1.00, , , ,,,,
Kosovo, , , ,,,,,,, , ,, , , ,,,,
Kuwait, , , ,,112,1.08,,39979548,1.07, , ,1.08, , , ,,,,
Kyrgyzstan, , , ,,10,1.01,,8089614.5,1.01, , ,1.01, , , ,,,,
Lao, , , ,,26,1.02,,12413653,1.02, , ,1.02, , , ,,,,
Latvia, , , ,,7,1,,2218210.8,1, , ,1.00, , , ,,,,
Lebanon, , , ,,1,1,,4563342.5,1.01, , ,1.01, , , ,,,,
Lesotho, , , ,,,,,1551285.2,1, , ,1.00, , , ,,,,
Liberia, , , ,,2,1,,3349144.5,1.01, , ,1.01, , , ,,,,
Libya, , , ,,61,1.04,,33019328,1.05, , ,1.05, , , ,,,,
Liechtenstein, , , ,,,,,26619.367,1, , ,1.00, , , ,,,,
Lithuania, , , ,,13,1.01,,2539579,1, , ,1.01, , , ,,,,
Luxembourg, , , ,,7,1,,533217.75,1, , ,1.00, , , ,,,,
Macedonia, , , ,,,,,125231.72,1, , ,1.00, , , ,,,,
Madagascar, , , ,,4,1,,28065156,1.05, , ,1.03, , , ,,,,
Malawi, , , ,,6,1,,10214989,1.02, , ,1.01, , , ,,,,
Malaysia, , , ,,283,1.19,,60358360,1.1, , ,1.15, , , ,,,,
Maldives, , , ,,3,1,,203910.33,1, , ,1.00, , , ,,,,
Mali, , , ,,7,1,,32161314,1.05, , ,1.03, , , ,,,,
Malta, , , ,,2,1,,180352.67,1, , ,1.00, , , ,,,,
Marshall Islands, , , ,,,,,,, , ,, , , ,,,,
Mauritania, , , ,,5,1,,9307973,1.02, , ,1.01, , , ,,,,
Mauritius, , , ,,4,1,,696816.9,1, , ,1.00, , , ,,,,
Mexico, , , ,,487,1.33,,181861140,1.3, , ,1.32, , , ,,,,
Micronesia, , , ,,,,,61202.145,1, , ,1.00, , , ,,,,
Moldova, , , ,,10,1.01,,1947761.1,1, , ,1.01, , , ,,,,
Monaco, , , ,,,,,,, , ,, , , ,,,,
Mongolia, , , ,,28,1.02,,31272742,1.05, , ,1.04, , , ,,,,
Montenegro, , , ,,,,,650878.06,1, , ,1.00, , , ,,,,
Morocco, , , ,,70,1.05,,33655170,1.06, , ,1.06, , , ,,,,
Mozambique, , , ,,10,1.01,,28052302,1.05, , ,1.03, , , ,,,,
Myanmar, , , ,,10,1.01,,72708900,1.12, , ,1.07, , , ,,,,
Namibia, , , ,,4,1,,7898501.5,1.01, , ,1.01, , , ,,,,
Nauru, , , ,,,,,1878.1951,1, , ,1.00, , , ,,,,
Nepal, , , ,,18,1.01,,30090514,1.05, , ,1.03, , , ,,,,
Netherlands, , , ,,123,1.08,,20335212,1.03, , ,1.06, , , ,,,,
New Zealand, , , ,,36,1.02,,35109956,1.06, , ,1.04, , , ,,,,
Nicaragua, , , ,,6,1,,12512748,1.02, , ,1.01, , , ,,,,
Niger, , , ,,3,1,,31892332,1.05, , ,1.03, , , ,,,,
Nigeria, , , ,,128,1.09,,226655550,1.37, , ,1.23, , , ,,,,
North Macedonia, , , ,,9,1.01,,1592683,1, , ,1.01, , , ,,,,
North Korea, , , ,,64,1.04,,21175962,1.03, , ,1.04, , , ,,,,
Norway, , , ,,44,1.03,,22930814,1.04, , ,1.04, , , ,,,,
Oman, , , ,,93,1.06,,42751348,1.07, , ,1.07, , , ,,,,
Pakistan, , , ,,201,1.14,,241362000,1.4, , ,1.27, , , ,,,,
Palau, , , ,,1,1,,50548.05,1, , ,1.00, , , ,,,,
Palestine, , , ,,0,1,,,, , ,1.00, , , ,,,,
Panama, , , ,,15,1.01,,4698564,1.01, , ,1.01, , , ,,,,
Papua New Guinea, , , ,,6,1,,4184831.2,1.01, , ,1.01, , , ,,,,
Paraguay, , , ,,8,1.01,,27518930,1.05, , ,1.03, , , ,,,,
Peru, , , ,,58,1.04,,39377412,1.06, , ,1.05, , , ,,,,
Philippines, , , ,,161,1.11,,95830810,1.16, , ,1.14, , , ,,,,
Poland, , , ,,287,1.19,,45085316,1.07, , ,1.13, , , ,,,,
Portugal, , , ,,36,1.02,,12036808,1.02, , ,1.02, , , ,,,,
Qatar, , , ,,128,1.09,,87317310,1.14, , ,1.12, , , ,,,,
Romania, , , ,,71,1.05,,23756658,1.04, , ,1.05, , , ,,,,
Russia, , , ,,2070,2.4,,533117900,1.88, , ,2.14, , , ,,,,
Rwanda, , , ,,2,1,,6404238.5,1.01, , ,1.01, , , ,,,,
Saint Kitts and Nevis, , , ,,0,1,,45760.86,1, , ,1.00, , , ,,,,
Saint Lucia, , , ,,0,1,,82826.51,1, , ,1.00, , , ,,,,
Saint Vincent and the Grenadines, , , ,,0,1,,61235.51,1, , ,1.00, , , ,,,,
Samoa, , , ,,0,1,,181776.5,1, , ,1.00, , , ,,,,
San Marino, , , ,,,,,,, , ,, , , ,,,,
Sao Tomé and Principe, , , ,,0,1,,86340.69,1, , ,1.00, , , ,,,,
Saudi Arabia, , , ,,623,1.42,,131360250,1.22, , ,1.32, , , ,,,,
Senegal, , , ,,12,1.01,,13000862,1.02, , ,1.02, , , ,,,,
Serbia, , , ,,56,1.04,,7594979.5,1.01, , ,1.03, , , ,,,,
Seychelles, , , ,,1,1,,81002.75,1, , ,1.00, , , ,,,,
Sierra Leone, , , ,,1,1,,5905806,1.01, , ,1.01, , , ,,,,
Singapore, , , ,,57,1.04,,5822013.5,1.01, , ,1.03, , , ,,,,
Slovakia, , , ,,35,1.02,,5928015.5,1.01, , ,1.02, , , ,,,,
Slovenia, , , ,,12,1.01,,2689510.2,1, , ,1.01, , , ,,,,
Solomon Islands, , , ,,0,1,,253095.03,1, , ,1.00, , , ,,,,
Somalia, , , ,,1,1,,25692824,1.04, , ,1.02, , , ,,,,
South Africa, , , ,,397,1.27,,88805520,1.15, , ,1.21, , , ,,,,
South Korea, , , ,,574,1.39,,47737716,1.08, , ,1.24, , , ,,,,
South Sudan, , , ,,,,,36440876,1.06, , ,1.06, , , ,,,,
Spain, , , ,,217,1.15,,48884900,1.08, , ,1.12, , , ,,,,
Sri Lanka, , , ,,21,1.01,,13092714,1.02, , ,1.02, , , ,,,,
Sudan, , , ,,21,1.01,,71778360,1.12, , ,1.07, , , ,,,,
Suriname, , , ,,3,1,,997691.8,1, , ,1.00, , , ,,,,
Swaziland, , , ,,,,,,, , ,, , , ,,,,
Sweden, , , ,,35,1.02,,13068593,1.02, , ,1.02, , , ,,,,
Switzerland, , , ,,34,1.02,,6174289,1.01, , ,1.02, , , ,,,,
Syria, , , ,,26,1.02,,9172741,1.02, , ,1.02, , , ,,,,
Taiwan, , , ,,280,1.19,,18088788,1.03, , ,1.11, , , ,,,,
Tajikistan, , , ,,9,1.01,,8069402.5,1.01, , ,1.01, , , ,,,,
Tanzania, , , ,,19,1.01,,65912136,1.11, , ,1.06, , , ,,,,
Thailand, , , ,,274,1.19,,108519600,1.18, , ,1.19, , , ,,,,
Timor-Leste, , , ,,1,1,,,, , ,1.00, , , ,,,,
Togo, , , ,,2,1,,6730159.5,1.01, , ,1.01, , , ,,,,
Tonga, , , ,,0,1,,99633.55,1, , ,1.00, , , ,,,,
Trinidad and Tobago, , , ,,27,1.02,,13039007,1.02, , ,1.02, , , ,,,,
Tunisia, , , ,,32,1.02,,10024897,1.02, , ,1.02, , , ,,,,
Turkey, , , ,,438,1.3,,123496180,1.2, , ,1.25, , , ,,,,
Turkmenistan, , , ,,66,1.04,,50925684,1.08, , ,1.06, , , ,,,,
Tuvalu, , , ,,,,,8926.069,1, , ,1.00, , , ,,,,
Uganda, , , ,,7,1,,38119550,1.06, , ,1.03, , , ,,,,
Ukraine, , , ,,136,1.09,,51901628,1.09, , ,1.09, , , ,,,,
United Arab Emirates, , , ,,206,1.14,,52119390,1.09, , ,1.12, , , ,,,,
United Kingdom, , , ,,302,1.2,,47981756,1.08, , ,1.14, , , ,,,,
United States of America, , , ,,4682,4.18,,683537800,2.13, , ,3.16, , , ,,,,
Uruguay, , , ,,9,1.01,,27511514,1.05, , ,1.03, , , ,,,,
Uzbekistan, , , ,,138,1.09,,67585020,1.11, , ,1.10, , , ,,,,
Vanuatu, , , ,,0,1,,317257.72,1, , ,1.00, , , ,,,,
Venezuela, , , ,,85,1.06,,50190810,1.08, , ,1.07, , , ,,,,
Vietnam, , , ,,373,1.25,,110867960,1.18, , ,1.22, , , ,,,,
Yemen, , , ,,11,1.01,,16208228,1.03, , ,1.02, , , ,,,,
Zambia,, , ,,8,1.01,,19878824,1.03, , ,1.02, , , ,,,,
Zimbabwe,, , ,,12,1.01, ,12784547,1.02, , ,1.02, , , ,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,, , ,, , , ,, , , , , ,, ,,,,
,, , ,, , , ,, , , , , ,, ,,,,
,, , ,, , , ,, , , , , ,, ,,,,
,, , ,, , , ,, , , , , ,, ,,,,
